_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,COMMON_NAME,DBH_TRUNK,geometry
3319809,9049,NY26864,981,WILLOWDALE AVE,CUMMER AVE,WEDGEWOOD DR NORTH YORK,,0.0,20.0,,18.0,"Catalpa, Northern",35.0,"{'type': 'Point', 'coordinates': (-79.4102940882482, 43.7897068913498)}"
3319810,9050,NY110360,139,ARMOUR BLVD,RIDLEY BLVD,BOMBAY AVE,,0.0,20.0,SUMMIT HEIGHTS PS,6.0,"Mountain ash, oak leaf",20.0,"{'type': 'Point', 'coordinates': (-79.4286823762507, 43.74159660877)}"
3319811,9051,YO1405,9,LIPPINCOTT ST W,WESTON RD,DENISON RD W,,0.0,10.0,,5.0,"Maple, silver",71.0,"{'type': 'Point', 'coordinates': (-79.5084230215814, 43.6951559569307)}"
3319812,9052,NY9864,22,SWIFTDALE PL,FARMCOTE RD,,,0.0,10.0,,16.0,"Apple, Sargents",40.0,"{'type': 'Point', 'coordinates': (-79.3412766852398, 43.7463980293392)}"
3319813,9053,263853,17,HOLBORNE AVE,FAIRSIDE AVE,BINSWOOD AVE,,0.0,10.0,,19.0,"Cherry, Japanese",32.0,"{'type': 'Point', 'coordinates': (-79.3249879319498, 43.6930532218458)}"
3319814,9054,210955,1,REDDICK CRT,ENGLEMOUNT AVE,,,0.0,40.0,,8.0,"Lilac, Japanese",5.0,"{'type': 'Point', 'coordinates': (-79.4372561385226, 43.7149567664328)}"
3319815,9055,462277,141,YEOMANS RD,ALEXIS BLVD,SHEPPARD AVE W,,0.0,15.0,,6.0,"Oak, red",8.0,"{'type': 'Point', 'coordinates': (-79.4425558976079, 43.7537410750282)}"
3319816,9056,SC13362,136,MERKLEY SQ,SPRAYWOOD GT,IVY GREEN CRES,,0.0,10.0,,24.0,"Linden, Littleleaf",46.0,"{'type': 'Point', 'coordinates': (-79.211498662795, 43.774907221731)}"
3319817,9057,ET81777,37,REDCAR AVE,THE EAST MALL,LATTON RD,,0.0,10.0,,3.0,"Maple, hedge",44.0,"{'type': 'Point', 'coordinates': (-79.5554246028639, 43.6355085554699)}"
3319818,9058,507013,52,PHOEBE ST,,LN E SPADINA N PHOEBE,,0.0,98.0,,10.0,"Lilac, Japanese",7.0,"{'type': 'Point', 'coordinates': (-79.3959115246285, 43.6502165658216)}"
3319819,9059,522566,2,FAIRFIELD RD,RAWLINSON AVE,CARDIFF RD,B,0.0,10.0,,15.0,Serviceberry,5.0,"{'type': 'Point', 'coordinates': (-79.38794501792451, 43.7109726390448)}"
3319820,9060,600093,2,HARTISMERE CRT,COLLINGDALE RD,,,0.0,20.0,,1.0,"Hazel, Turkish",8.0,"{'type': 'Point', 'coordinates': (-79.5849239184584, 43.7315806028959)}"
3319821,9061,607725,56,FISHLEIGH DR,BIRCHLAWN AVE,EASTMOOR CRES,,0.0,18.0,,20.0,"Maple, Amur",6.0,"{'type': 'Point', 'coordinates': (-79.2472277125614, 43.7009826065355)}"
3319822,9062,NY135648,141,HILLCREST AVE NORTH YORK,KENNETH AVE NORTH YORK,DUDLEY AVE,,0.0,20.0,,18.0,"Spruce, Colorado blue",40.0,"{'type': 'Point', 'coordinates': (-79.4054342510402, 43.768819182235)}"
3319823,9063,407909,1,VERMONT AVE,,,A,0.0,10.0,,11.0,"Maple, Manitoba",34.0,"{'type': 'Point', 'coordinates': (-79.41404306294861, 43.6720142053389)}"
3319824,9064,337780,72,ELLENHALL SQ,HUNTSMILL BLVD,HUNTSMILL BLVD,,0.0,60.0,,22.0,"Pine, red",30.0,"{'type': 'Point', 'coordinates': (-79.3318294718026, 43.8137431748459)}"
3319825,9065,510968,316,SILVERTHORN AVE,ROWNTREE AVE,ROGERS RD,,0.0,10.0,,9.0,"Mulberry, white 'weeping'",17.0,"{'type': 'Point', 'coordinates': (-79.4632365211808, 43.682416899623)}"
3319826,9066,ET78828,70,PRINCESS ANNE CRES,PRINCE GEORGE DR,PRINCESS MARGARET BLVD,,0.0,110.0,ST. GEORGE'S JS,2.0,"Maple, Norway",21.0,"{'type': 'Point', 'coordinates': (-79.5419523591569, 43.6723236808323)}"
3319827,9067,520270,140,DUNVEGAN RD,FRYBROOK RD,KILBARRY RD,,0.0,210.0,,12.0,Serviceberry,5.0,"{'type': 'Point', 'coordinates': (-79.4085362857717, 43.6940905751929)}"
3319828,9068,247008,39,LIPPINCOTT ST E,,,A,0.0,10.0,,5.0,"Maple, Norway",22.0,"{'type': 'Point', 'coordinates': (-79.5051226187765, 43.695779158769)}"
3319829,9069,606754,90,CALEDONIA PARK RD,DAVENPORT RD,CALEDONIA RD,,0.0,170.0,,9.0,"Maple, silver",8.0,"{'type': 'Point', 'coordinates': (-79.4543616215125, 43.6740759878038)}"
3319830,9070,174245,10,MCLACHLAN DR,BROCKPORT DR,ATTWELL DR,,0.0,60.0,,1.0,"Elm, David 'Accolade'",8.0,"{'type': 'Point', 'coordinates': (-79.5862902958972, 43.6937227362686)}"
3319831,9071,NY80286,242,HOMEWOOD AVE NORTH YORK,SHETLAND ST,CACTUS AVE,,0.0,10.0,,18.0,"Maple, Norway",50.0,"{'type': 'Point', 'coordinates': (-79.4324567150936, 43.7880841277476)}"
3319832,9072,TO25285,38,DELAWARE AVE,COLLEGE ST TORONTO,DEWSON ST,,0.0,10.0,,9.0,"Spruce, Colorado blue",28.0,"{'type': 'Point', 'coordinates': (-79.4258314658332, 43.6553169470343)}"
3319833,9073,237886,45,WESTGATE BLVD,SOUTHBOURNE AVE,DELHI AVE,,0.0,80.0,,6.0,"Falsecypress, Japanese",15.0,"{'type': 'Point', 'coordinates': (-79.4305916618273, 43.7403369295398)}"
3319834,9074,589833,3581,DANFORTH AVE,KALMAR AVE,EASTWOOD AVE,X,0.0,30.0,,20.0,"Honey locust, 'Skyline'",8.0,"{'type': 'Point', 'coordinates': (-79.2701203524963, 43.6949811940176)}"
3319835,9075,298964,53,LABURNHAM AVE,EVERGREEN AVE,TWENTY NINTH ST,,0.0,10.0,,3.0,"Maple, red",4.0,"{'type': 'Point', 'coordinates': (-79.5279090808935, 43.59929473657)}"
3319836,9076,192361,225,SHEPPARD AVE W,FENNELL ST,SENLAC RD,,0.0,10.0,,18.0,Honey locust,8.0,"{'type': 'Point', 'coordinates': (-79.4218191719009, 43.7590030663019)}"
3319837,9077,237278,51,BILLINGS AVE,DUNDAS ST E,ATHLETIC AVE,,0.0,10.0,,14.0,Mulberry,38.0,"{'type': 'Point', 'coordinates': (-79.3254357783056, 43.6680403508063)}"
3319838,9078,28726,1,MEADOW LARKWAY,"BAYVIEW AVE TO, EY, NY",,,0.0,270.0,,18.0,"Spruce, white",10.0,"{'type': 'Point', 'coordinates': (-79.3891882930867, 43.769731103781005)}"
3319839,9079,376593,2,GLEN MUIR DR,LITTLE ROCK DR,BARE ROCK DR,,0.0,80.0,,20.0,"Pine, Austrian",23.0,"{'type': 'Point', 'coordinates': (-79.2311124185167, 43.7361944723911)}"
3319840,9080,231004,226,FALSTAFF AVE,BLUE SPRINGS RD,NORCREST DR,,0.0,10.0,,5.0,Golden Chain tree,8.0,"{'type': 'Point', 'coordinates': (-79.4900985236652, 43.7185068934052)}"
3319841,9081,302683,57,PARMA CRT,VICTORIA PARK AVE,,,0.0,10.0,,19.0,"Alder, European",8.0,"{'type': 'Point', 'coordinates': (-79.30101048758311, 43.7160829989892)}"
3319842,9082,108046,1,TILLPLAIN RD,COCKSFIELD AVE,CODSELL AVE,,0.0,20.0,,6.0,"Honey locust, 'Shade master'",15.0,"{'type': 'Point', 'coordinates': (-79.4580919778557, 43.75281307983)}"
