_id,OBJECTID,STRUCTID,ADDRESS,STREETNAME,CROSSSTREET1,CROSSSTREET2,SUFFIX,UNIT_NUMBER,TREE_POSITION_NUMBER,SITE,WARD,COMMON_NAME,DBH_TRUNK,geometry
3313328,2568,TO84639,37,ST EDMUND'S DR,DINNICK CRES,LYMPSTONE AVE,,0.0,110.0,,15.0,"Pine, Eastern white",62.0,"{'type': 'Point', 'coordinates': (-79.4000254727114, 43.7237874351106)}"
3313329,2569,NY113703,27,WHITEHORN CRES,KINGSLAKE RD,KINGSLAKE RD,,0.0,40.0,,17.0,"Mulberry, white 'weeping'",1.0,"{'type': 'Point', 'coordinates': (-79.3485865243386, 43.7931045913854)}"
3313330,2570,189445,32,WISHING WELL DR,PHARMACY AVE,LOWCREST BLVD,,0.0,10.0,,22.0,Ginkgo,8.0,"{'type': 'Point', 'coordinates': (-79.3114851838447, 43.769722995158)}"
3313331,2571,302093,70,KINGSLAKE RD,KOVEN PL,GLENEAGLE CRES,,0.0,20.0,,17.0,"Maple, sugar",4.0,"{'type': 'Point', 'coordinates': (-79.3431537996631, 43.7837526308618)}"
3313332,2572,359562,54,RINGWAY CRES,HOLBERG ST,KLIBURN PL,,0.0,10.0,,1.0,"Oak, bur",4.0,"{'type': 'Point', 'coordinates': (-79.552039065479, 43.7172006819092)}"
3313333,2573,552535,1133,FINCH AVE W,CHESSWOOD DR,ALEXDON RD,,0.0,150.0,,6.0,"Oak, red",8.0,"{'type': 'Point', 'coordinates': (-79.4803831307546, 43.7653932908363)}"
3313334,2574,330589,231,ONTARIO ST,LN N SHUTER E SEATON,LN S DUNDAS E SEATON,,0.0,10.0,,13.0,"Elm, Chinese",50.0,"{'type': 'Point', 'coordinates': (-79.3677669585021, 43.657647122063)}"
3313335,2575,555825,1300,SHEPPARD AVE W,BAKERSFIELD ST,TUSCAN GT,,0.0,220.0,,6.0,Tulip tree,8.0,"{'type': 'Point', 'coordinates': (-79.4828147093058, 43.7532039209859)}"
3313336,2576,64495,2525,BLOOR ST W,"RIVERSIDE DR TO, YK",TRAYMORE CRES,,0.0,130.0,,4.0,"Elm, Siberian",65.0,"{'type': 'Point', 'coordinates': (-79.488504410429, 43.6474991472701)}"
3313337,2577,NY101370,41,GOODYEAR CRES,BELLEMEADE LANE,CLANSMAN BLVD,,0.0,50.0,,17.0,"Maple, Norway 'Schwedler'",37.0,"{'type': 'Point', 'coordinates': (-79.3615543879786, 43.8020753390456)}"
3313338,2578,115220,385,MONTROSE AVE,HARBORD ST,LN S BLOOR W MONTROSE,,0.0,10.0,,11.0,Kentucky coffee,5.0,"{'type': 'Point', 'coordinates': (-79.419655929031, 43.6600496255448)}"
3313339,2579,508417,321,BROOKE AVE,CLYDE AVE,FALKIRK ST,,0.0,20.0,,8.0,"Maple, Japanese",15.0,"{'type': 'Point', 'coordinates': (-79.4253110109148, 43.7318888762416)}"
3313340,2580,EY14340,31,INWOOD AVE,MILVERTON BLVD,SAMMON AVE,,0.0,10.0,,14.0,"Maple, Norway",74.0,"{'type': 'Point', 'coordinates': (-79.3361471882167, 43.6855479539492)}"
3313341,2581,SC103326,23,LINDERWOOD DR,,KARINA RD,,0.0,10.0,,25.0,"Maple, Norway",25.0,"{'type': 'Point', 'coordinates': (-79.14844016415472, 43.7931669646437)}"
3313342,2582,94391,8,MILLERSGROVE DR,HIDDEN TRL,FISHERVILLE RD,,0.0,10.0,,6.0,"Maple, Norway",25.0,"{'type': 'Point', 'coordinates': (-79.459445834809, 43.7841280422568)}"
3313343,2583,244603,1380,DON MILLS RD,FARMCOTE RD,MALLARD RD,,0.0,100.0,,16.0,"Oak, bur",6.0,"{'type': 'Point', 'coordinates': (-79.3476498534331, 43.7474526961527)}"
3313344,2584,ET43153,129,HARBOURVIEW CRES,BLUEWATER CRT,BLUEWATER CRT,,0.0,10.0,,3.0,"Linden, Crimean",18.0,"{'type': 'Point', 'coordinates': (-79.4888568615573, 43.6218947304109)}"
3313345,2585,74233,9,FULTON AVE,LN W JACKMAN S FULTON,JACKMAN AVE,,0.0,10.0,,14.0,"Maple, Norway 'Emerald Queen '",30.0,"{'type': 'Point', 'coordinates': (-79.3568279239997, 43.6818397977406)}"
3313346,2586,476155,5,AGATE RD,WILSON AVE,VICTORY DR,,0.0,80.0,,6.0,"Maple, sugar",22.0,"{'type': 'Point', 'coordinates': (-79.4859145867171, 43.7271123124299)}"
3313347,2587,SC39956,14,RAVENVIEW DR,MANAHAM RD,DUNSTALL CRES,,0.0,30.0,,25.0,"Cherry, purple-leaf sand",23.0,"{'type': 'Point', 'coordinates': (-79.162873104099, 43.7687343118191)}"
3313348,2588,TO5074,191,BARTLETT AVE,FERNBANK AVE,HALLAM ST,,0.0,10.0,,9.0,"Maple, Norway",75.0,"{'type': 'Point', 'coordinates': (-79.4351697386517, 43.6661320151631)}"
3313349,2589,307595,33,GROVENEST DR,HIGHCASTLE RD,OAKMEADOW BLVD,,0.0,10.0,,24.0,"Horsechestnut, 'Ruby red'",4.0,"{'type': 'Point', 'coordinates': (-79.212486551652, 43.7896843479998)}"
3313350,2590,571355,9,BESSARION RD,,CARACAS RD,,0.0,10.0,,17.0,"Oak, swamp white",8.0,"{'type': 'Point', 'coordinates': (-79.3754832752055, 43.7665245303597)}"
3313351,2591,482948,2,AVON AVE,LN E HUMBER N AVON,PORTER AVE,,0.0,98.0,,5.0,"Maple, Norway",15.0,"{'type': 'Point', 'coordinates': (-79.4808364038711, 43.6820066406884)}"
3313352,2592,SC108134,9,NETTLECREEK CRES,GOLDHAWK TRL,GOLDHAWK TRL,,0.0,10.0,,23.0,"Linden, Littleleaf",25.0,"{'type': 'Point', 'coordinates': (-79.2831977477861, 43.8241520773166)}"
3313353,2593,TO104569,39,AVONLEA BLVD,COLEMAN AVE,DENTONIA PARK AVE,,0.0,10.0,,19.0,"Maple, Norway 'Emerald Queen '",27.0,"{'type': 'Point', 'coordinates': (-79.2947033060607, 43.6922442495858)}"
3313354,2594,YO10176,7,THORNHILL AVE,RAYMOND AVE,BABY POINT RD,,0.0,10.0,,4.0,"Spruce, Colorado blue",46.0,"{'type': 'Point', 'coordinates': (-79.4888610455208, 43.6574749285518)}"
3313355,2595,138747,139,PAINTED POST DR,ABBEVILLE RD,BIGWOOD CRT,,0.0,30.0,,24.0,"Maple, Freeman 'Autumn Blaze'",15.0,"{'type': 'Point', 'coordinates': (-79.2297630790555, 43.7650474936467)}"
3313356,2596,NY114609,205,SWEENEY DR,SULKARA CRT,SUNDIAL CRES,,0.0,10.0,,16.0,"Oak, bur",34.0,"{'type': 'Point', 'coordinates': (-79.3246676317993, 43.7331774954114)}"
3313357,2597,SC92778,135,PORT ROYAL TRL,BRAMBLEBROOK AVE,BELLROCK DR,,0.0,20.0,,23.0,"Honey locust, 'Shade master'",33.0,"{'type': 'Point', 'coordinates': (-79.28852512450251, 43.8159495903277)}"
3313358,2598,559834,2,ROYALCREST RD,HIGHWAY 27 N,BAYWOOD RD,,0.0,260.0,,1.0,"Spruce, Norway",8.0,"{'type': 'Point', 'coordinates': (-79.6095798757409, 43.7506718280129)}"
3313359,2599,556693,175,SCARLETT RD,EDINBOROUGH CRT,CLAIRTON CRES,,0.0,99998.0,,5.0,"Ash, white",60.0,"{'type': 'Point', 'coordinates': (-79.5043070314585, 43.6734323041048)}"
3313360,2600,TO22249,70,CRANBROOKE AVE,LN W YONGE S CRANBROOKE,JEDBURGH RD,,0.0,10.0,,8.0,"Maple, Norway",74.0,"{'type': 'Point', 'coordinates': (-79.4058336743994, 43.728710105558704)}"
3313361,2601,627489,1,CRICKLEWOOD RD,REDWATER DR,CLEARBROOKE CRCL,,0.0,10.0,,1.0,Kentucky coffee,6.0,"{'type': 'Point', 'coordinates': (-79.5607632503714, 43.720767273057)}"
3313362,2602,ET64651,3,MATTARI CRT,HUMBER COLLEGE BLVD,MATTARI CRT,,0.0,10.0,,1.0,Ginkgo,13.0,"{'type': 'Point', 'coordinates': (-79.6104725222648, 43.7329594920521)}"
3313363,2603,462263,359,RANEE AVE,HIGHLAND HILL,DUFFERIN ST,,0.0,10.0,,8.0,"Maple, hedge",8.0,"{'type': 'Point', 'coordinates': (-79.4556008229881, 43.72157310355551)}"
3313364,2604,286690,5,ROGATE PL,,SOUTH MARINE DR,,0.0,10883.0,SOUTH MARINE DRIVE PARK,24.0,"Ash, white",37.0,"{'type': 'Point', 'coordinates': (-79.2014285839379, 43.73817632384)}"
3313365,2605,295177,2481,BIRCHMOUNT RD,BAY MILLS BLVD,HUNTINGWOOD DR,,0.0,9618.0,TAM O'SHANTER GOLF COURSE,22.0,"Ash, green",39.0,"{'type': 'Point', 'coordinates': (-79.2982776640078, 43.7876718859896)}"
3313366,2606,515815,956,SHAW ST,ESSEX ST,ESSEX ST,,0.0,30.0,,11.0,"Cedar, Eastern red",11.0,"{'type': 'Point', 'coordinates': (-79.4253506989341, 43.6670666643122)}"
3313367,2607,ET115572,64,WILLOWRIDGE RD,WINTERSET CRES,LONGBOURNE DR,,0.0,10.0,,1.0,"Maple, Norway",35.0,"{'type': 'Point', 'coordinates': (-79.5713388048216, 43.6771081648777)}"
3313368,2608,SC10707,36,DORCOT AVE,HIGHBROOK DR,MUNSON CRES,,0.0,10.0,,21.0,"Linden, Littleleaf",80.0,"{'type': 'Point', 'coordinates': (-79.2639411419317, 43.7584683763247)}"
3313369,2609,134328,5240,FINCH AVE E,MIDDLEFIELD RD,TIFFIELD RD,,0.0,10.0,,23.0,"Maple, Freeman 'Armstrong'",20.0,"{'type': 'Point', 'coordinates': (-79.2547435103683, 43.8106025298338)}"
3313370,2610,603176,620,DUNDAS ST E,BELSHAW PL,SUMACH ST,,0.0,99.0,,13.0,Birch,9.0,"{'type': 'Point', 'coordinates': (-79.362825551406, 43.6613746793875)}"
3313371,2611,495916,59,CONSTANCE ST,SUNNYSIDE AVE,INDIAN RD,,0.0,10.0,,4.0,"Maple, Japanese",2.0,"{'type': 'Point', 'coordinates': (-79.4533734373667, 43.649084439037)}"
3313372,2612,625776,43,PHARMACY AVE,LN N DANFORTH E PHARMACY,DENTON AVE,,0.0,10.0,,20.0,"Lilac, Japanese",6.0,"{'type': 'Point', 'coordinates': (-79.2837586444425, 43.6938823138162)}"
3313373,2613,NY60368,18,ENNISMORE PL,GLENTWORTH RD,,,0.0,10.0,,17.0,"Honey locust, 'Shade master'",42.0,"{'type': 'Point', 'coordinates': (-79.3596584940349, 43.7761331431235)}"
3313374,2614,81766,32,STRATHEARN BLVD,VESTA DR,VESTA DR,,0.0,10.0,,12.0,Ginkgo,4.0,"{'type': 'Point', 'coordinates': (-79.4163287094443, 43.6910287956422)}"
3313375,2615,TO345,783,ADELAIDE ST W,NIAGARA ST,WALNUT AVE,,0.0,10.0,,10.0,"Ash, white",64.0,"{'type': 'Point', 'coordinates': (-79.40927474719972, 43.643906455157)}"
3313376,2616,NY1839,49,CARMICHAEL AVE,KELSO AVE,CLYDE AVE,,0.0,10.0,,8.0,"Apple, Sargents",39.0,"{'type': 'Point', 'coordinates': (-79.4236531016612, 43.7368388344242)}"
3313377,2617,NY57148,12,BANNOCKBURN AVE,KELSO AVE,CLYDE AVE,,0.0,230.0,,8.0,Honey locust,51.0,"{'type': 'Point', 'coordinates': (-79.4234589255535, 43.7333616385823)}"
3313378,2618,YO3720,184,ARLINGTON AVE,HUMEWOOD GDNS,NORMANNA AVE,,0.0,20.0,,12.0,Spruce,8.0,"{'type': 'Point', 'coordinates': (-79.4299681352442, 43.6830905802313)}"
3313379,2619,TO63533,34,MELROSE AVE,LN W YONGE N MELROSE,JEDBURGH RD,,0.0,20.0,,8.0,"Magnolia, saucer",53.0,"{'type': 'Point', 'coordinates': (-79.4057256772188, 43.732821654057)}"
3313380,2620,48433,947,ST CLARENS AVE,DAVENPORT RD,LN N DAVENPORT E ST CLARENS,,0.0,20.0,,9.0,"Apple, Sargents",22.0,"{'type': 'Point', 'coordinates': (-79.4472388569798, 43.6721709871528)}"
3313381,2621,139917,119,FITZGIBBON AVE,TARA AVE,ARNOTT ST,,0.0,10.0,,21.0,"Beech, European",12.0,"{'type': 'Point', 'coordinates': (-79.2629785572756, 43.7433559456559)}"
3313382,2622,314575,35,SATOK TER,CATHLO ST,,,0.0,10.0,,25.0,"Oak, red",12.0,"{'type': 'Point', 'coordinates': (-79.1587973273631, 43.7713586403163)}"
3313383,2623,ET45965,95,HILLSIDE AVE,GEORGE ST ETOBICOKE,ROYAL YORK RD,,0.0,20.0,,3.0,"Spruce, Colorado blue",10.0,"{'type': 'Point', 'coordinates': (-79.4950011012001, 43.6101872659661)}"
3313384,2624,210273,42,RINGLEY AVE,ALDGATE AVE,GUTHRIE AVE,,0.0,10.0,,3.0,"Lilac, Japanese",6.0,"{'type': 'Point', 'coordinates': (-79.4878837595104, 43.6307108900027)}"
3313385,2625,NY3580,14,ELFINDALE CRES,HAVENBROOK BLVD,DEEPGLADE CRES,,0.0,10.0,,17.0,"Apple, Sargents",37.0,"{'type': 'Point', 'coordinates': (-79.3544617857089, 43.769291941144)}"
3313386,2626,377937,262,JARVIS ST,DUNDAS ST E,GERRARD ST E,,0.0,20.0,,13.0,Ginkgo,36.0,"{'type': 'Point', 'coordinates': (-79.3757328942088, 43.6596817853068)}"
3313387,2627,TO6148,18,BEATON AVE,WRENSON RD,GERRARD ST E,,0.0,10.0,,19.0,"Maple, Norway",70.0,"{'type': 'Point', 'coordinates': (-79.3166685463831, 43.6757013451273)}"
3313388,2628,ET68242,25,MONCRIEFF DR,CROWLAND DR,BERRY CREEK DR,,0.0,15.0,,1.0,Birch,70.0,"{'type': 'Point', 'coordinates': (-79.5695039554455, 43.7226977227241)}"
3313389,2629,YO11007,52,JULIET CRES,BICKNELL AVE,WESTBURY CRES,,0.0,10.0,,5.0,"Maple, Norway",68.0,"{'type': 'Point', 'coordinates': (-79.4770497713561, 43.6862443620196)}"
3313390,2630,418942,59,HOWDEN RD,LAWRENCE AVE E,LAURA SECORD WALK,,0.0,20.0,,21.0,Ginkgo,4.0,"{'type': 'Point', 'coordinates': (-79.2892020850778, 43.7507367827108)}"
3313391,2631,82970,812,DUNDAS ST W,PALMERSTON AVE,LN W PALMERSTON S DUNDAS,,0.0,10.0,,11.0,Elm,18.0,"{'type': 'Point', 'coordinates': (-79.4088998007862, 43.651782693194)}"
3313392,2632,562005,307,BOGERT AVE,SENLAC RD,EASTON RD,,0.0,10.0,,18.0,"Yellowwood, Kentucky",4.0,"{'type': 'Point', 'coordinates': (-79.4251545017412, 43.7573620777083)}"
3313393,2633,165566,15,GRAY AVE,LAMBTON AVE,OUTLOOK AVE,,0.0,30.0,,5.0,Honey locust,17.0,"{'type': 'Point', 'coordinates': (-79.4932279965657, 43.6810765546658)}"
3313394,2634,NY105969,15,OVERBANK CRES,BROOKBANKS DR,BROOKBANKS DR,,0.0,20.0,,16.0,"Magnolia, saucer",5.0,"{'type': 'Point', 'coordinates': (-79.3256977184946, 43.75517523147861)}"
3313395,2635,NY101374,16,GORDON RD,OWEN BLVD,UPPER HIGHLAND CRES,,0.0,20.0,,15.0,"Maple, Norway 'Schwedler'",37.0,"{'type': 'Point', 'coordinates': (-79.4002151843603, 43.7472329054792)}"
3313396,2636,TO140179,20,CHARLES ST E,LN E YONGE N CHARLES,LN 2 E YONGE S CHARLES,,0.0,1.0,,11.0,"Maple, silver",20.0,"{'type': 'Point', 'coordinates': (-79.3851342443269, 43.66907591888851)}"
3313397,2637,235831,56,DAIRY DR,EDHOUSE AVE,BAMBLETT DR,,0.0,10.0,,20.0,"Maple, Amur",6.0,"{'type': 'Point', 'coordinates': (-79.2747547648415, 43.7003756899267)}"
3313398,2638,277808,170,WOODYCREST AVE,KINGS PARK BLVD,MORTIMER AVE,,0.0,10.0,,14.0,"Linden, Littleleaf",6.0,"{'type': 'Point', 'coordinates': (-79.3444441970621, 43.6864201065337)}"
3313399,2639,585058,223,PRESCOTT AVE,ROCKWELL AVE,ROWNTREE AVE,,0.0,10.0,,9.0,Serviceberry,6.0,"{'type': 'Point', 'coordinates': (-79.4595774384201, 43.6800986004246)}"
3313400,2640,271487,100,HILTZ AVE,DOROTHY ST,DUNDAS ST E,,0.0,10.0,,14.0,"Linden, Littleleaf",3.0,"{'type': 'Point', 'coordinates': (-79.327379381058, 43.6667601263861)}"
3313401,2641,361545,111,CHARLOTTETOWN BLVD,ELKWOOD DR,CONFERENCE BLVD,,0.0,5.0,,25.0,"Maple, black",10.0,"{'type': 'Point', 'coordinates': (-79.1451031130367, 43.7831010051019)}"
3313402,2642,165296,28,CEDARBANK CRES,MALLOW RD,LIMEWOOD ST,,0.0,10.0,,16.0,"Birch, white",2.0,"{'type': 'Point', 'coordinates': (-79.3383772479558, 43.7419158635279)}"
3313403,2643,NY151090,2,WINDY GOLFWAY,LINKWOOD LANE,LINKWOOD LANE,,0.0,410.0,,16.0,"Spruce, white",3.0,"{'type': 'Point', 'coordinates': (-79.3250547749971, 43.7165738582916)}"
3313404,2644,SC64049,52,STONEHENGE CRES,MOUNTLAND DR,MOUNTLAND DR,,0.0,10.0,,24.0,"Linden, Littleleaf",55.0,"{'type': 'Point', 'coordinates': (-79.2258090602313, 43.7712631059816)}"
3313405,2645,NY28901,342,PARKVIEW AVE NORTH YORK,HIGHGATE AVE,ESTELLE AVE,,0.0,10.0,,18.0,"Cedar, white",5.0,"{'type': 'Point', 'coordinates': (-79.3945271428818, 43.7754597185262)}"
3313406,2646,387862,20,FOUR WINDS DR,COLUMBIA GT,SENTINEL RD,,0.0,600.0,FOUR WINDS ALLOTMENT GARDENS,7.0,"Oak, bur",47.0,"{'type': 'Point', 'coordinates': (-79.49323096686472, 43.766452592345)}"
3313407,2647,164235,14,SAPLING CRT,FORESTVIEW RD,,,0.0,20.0,,2.0,"Maple, Norway",52.0,"{'type': 'Point', 'coordinates': (-79.5716969684749, 43.6325025232916)}"
3313408,2648,428674,472,ST CLEMENTS AVE,AVENUE RD,CASTLEWOOD RD,,0.0,10.0,,8.0,"Lilac, Japanese",4.0,"{'type': 'Point', 'coordinates': (-79.4169190999352, 43.7093739202103)}"
3313409,2649,445704,16,YONGE ST,HARBOUR ST,GARDINER E LOWER JARVIS RAMP,,0.0,30.0,,10.0,Honey locust,12.0,"{'type': 'Point', 'coordinates': (-79.3756674517448, 43.6434642637769)}"
3313410,2650,NY68152,57,HOBART DR,VAN HORNE AVE,SENECA HILL DR,,0.0,20.0,,17.0,"Maple, Norway columnar",10.0,"{'type': 'Point', 'coordinates': (-79.3505222284198, 43.7903256982181)}"
3313411,2651,311468,72,BRINLOOR BLVD,P MACKIE PUB GT,SERVICE RD SCARBOROUGH,,0.0,40.0,,24.0,"Oak, pin",8.0,"{'type': 'Point', 'coordinates': (-79.2138627457662, 43.7402764901361)}"
3313412,2652,SC37463,80,LA PEER BLVD,LOFTHOUSE SQ,LOFTHOUSE SQ,,0.0,10.0,,22.0,"Apple, Sargents",26.0,"{'type': 'Point', 'coordinates': (-79.3149771454814, 43.8055731578834)}"
3313413,2653,NY23598,30,RESTWELL CRES,VIAMEDE CRES,FOREST GROVE DR,,0.0,5.0,,17.0,"Birch, white",50.0,"{'type': 'Point', 'coordinates': (-79.3771347796371, 43.781038212326806)}"
3313414,2654,447739,2465,ISLINGTON AVE,FORDWICH CRES,ISLINGTON AVE,,0.0,10.0,,1.0,"Spruce, Colorado blue",29.0,"{'type': 'Point', 'coordinates': (-79.560511057379, 43.7271049852751)}"
3313415,2655,SC61543,35,GLEN EVEREST RD,FISHLEIGH DR,FOLCROFT AVE,,0.0,10.0,,20.0,"Maple, red",15.0,"{'type': 'Point', 'coordinates': (-79.2527637924746, 43.7010085767244)}"
3313416,2656,382512,11,WHITNEY AVE,GLEN RD,ROXBOROUGH DR,,0.0,40.0,,11.0,"Beech, European",5.0,"{'type': 'Point', 'coordinates': (-79.3718045344978, 43.6835949263851)}"
3313417,2657,YO1788,110,BABY POINT RD,FLEUR PL,L'ESTRANGE PL,,0.0,10.0,,4.0,"Oak, red",66.0,"{'type': 'Point', 'coordinates': (-79.4996004253671, 43.6554820492129)}"
3313418,2658,336935,1833,"BAYVIEW AVE TO, EY, NY",CRAIG CRES,GLAZEBROOK AVE,,0.0,70.0,,15.0,"Elm, Siberian",34.0,"{'type': 'Point', 'coordinates': (-79.3772853281708, 43.7129843929471)}"
3313419,2659,169948,71,KINCORT ST,NORTHWESTERN AVE,INGRAM DR,,0.0,20.0,,5.0,"Elm, David 'Accolade'",10.0,"{'type': 'Point', 'coordinates': (-79.4686131028802, 43.698964228392)}"
3313420,2660,NY49715,130,ROCHESTER AVE,ST IVES CRES,MILDENHALL RD,,0.0,10.0,,15.0,"Linden, littleleaf 'Greenspire'",75.0,"{'type': 'Point', 'coordinates': (-79.3870965537515, 43.7252276202799)}"
3313421,2661,346701,2001,EGLINTON AVE E,PRUDHAM GT,THERMOS RD,,0.0,40.0,,20.0,"Apple, Sargents",19.0,"{'type': 'Point', 'coordinates': (-79.2824203167028, 43.7287351988411)}"
3313422,2662,TO137844,38,LANSDOWNE AVE,LN N QUEEN E LANSDOWNE,SEAFORTH AVE,,0.0,10.0,,4.0,"Cherry, choke 'Shubert'",23.0,"{'type': 'Point', 'coordinates': (-79.4374576547039, 43.642007722538)}"
3313423,2663,299730,29,MAIDENHAIR LANE,,FIDDLEHEAD TER,,0.0,810.0,,25.0,"Maple, Freeman 'Armstrong'",10.0,"{'type': 'Point', 'coordinates': (-79.2220004309818, 43.8149146388734)}"
3313424,2664,571982,3,BOTLEY RD,TUNBRIDGE CRES,CRENDON DR,,0.0,10.0,,2.0,"Oak, swamp white",4.0,"{'type': 'Point', 'coordinates': (-79.5722347729967, 43.645634161307306)}"
3313425,2665,ET68179,28,MITRE PL,HOLYWELL DR,HOLYWELL DR,,0.0,10.0,,2.0,"Apple, Sargents",34.0,"{'type': 'Point', 'coordinates': (-79.5523064027143, 43.68821014249351)}"
3313426,2666,127983,79,MILFORD HAVEN DR,NEWARK RD,GREENOCK AVE,,0.0,10.0,,24.0,Tulip tree,10.0,"{'type': 'Point', 'coordinates': (-79.2200051504148, 43.7761159361788)}"
3313427,2667,174310,1,SURATY AVE,ST ANDREWS RD,KENCLIFF CRES,,0.0,10.0,,21.0,"Spruce, white",60.0,"{'type': 'Point', 'coordinates': (-79.2499434759543, 43.7604176371366)}"
3313428,2668,188310,361,OLD FINCH AVE,,,A,0.0,960.0,,25.0,"Maple, silver",8.0,"{'type': 'Point', 'coordinates': (-79.1867148216952, 43.82535463311041)}"
3313429,2669,104926,47,SCARLETT RD,BERNICE CRES,EILEEN AVE,,0.0,10.0,,5.0,"Elm, Siberian",56.0,"{'type': 'Point', 'coordinates': (-79.4998254565584, 43.6675060987601)}"
3313430,2670,579083,61,OLDHAM RD,BEMERSYDE DR,BEMERSYDE DR,,0.0,20.0,,2.0,Ironwood,8.0,"{'type': 'Point', 'coordinates': (-79.543526740955, 43.6784552785741)}"
3313431,2671,137168,84,BELSIZE DR,WILFRID AVE,ACACIA RD,,0.0,5.0,,12.0,"Oak, red",8.0,"{'type': 'Point', 'coordinates': (-79.3915093177336, 43.7019233004194)}"
3313432,2672,ET29140,2,ECHO VALLEY RIDGE,ECHO VALLEY RD,,,0.0,99998.0,,2.0,Poplar,44.0,"{'type': 'Point', 'coordinates': (-79.54267944577332, 43.6514948891404)}"
3313433,2673,584140,106,LOWER SHERBOURNE ST,GARDINER W SHERBOURNE RAMP,,,0.0,170.0,,10.0,Tulip tree,12.0,"{'type': 'Point', 'coordinates': (-79.3671327180136, 43.6480342883804)}"
3313434,2674,489969,1200,LANSDOWNE AVE,DAVENPORT RD,LN N DAVENPORT W LANSDOWNE,,0.0,1081.0,EARLSCOURT PARK,9.0,"Maple, Norway",63.0,"{'type': 'Point', 'coordinates': (-79.4492979868333, 43.6723623240693)}"
3313435,2675,NY117015,58,SHIPPIGAN CRES,TRAILSIDE DR,DALLINGTON DR,,0.0,80.0,,17.0,"Pear, 'Bradford'",22.0,"{'type': 'Point', 'coordinates': (-79.35596702308221, 43.7777123948824)}"
3313436,2676,NY69632,4,SPINDLEWOOD DR,DOLAN GT,VAN HORNE AVE,,0.0,20.0,,17.0,"Maple, Japanese",10.0,"{'type': 'Point', 'coordinates': (-79.3636540221326, 43.7835983350449)}"
3313437,2677,ET69700,22,MUNHALL RD,PAGEBROOK DR,GRIGGSDEN AVE,,0.0,10.0,,2.0,"Maple, Norway",57.0,"{'type': 'Point', 'coordinates': (-79.5266115710896, 43.6897213562626)}"
3313438,2678,424700,53,CONDOR AVE,LN N HUNTER W CONDOR,SHUDELL AVE,,0.0,110.0,,14.0,"Ash, green",67.0,"{'type': 'Point', 'coordinates': (-79.3347881856815, 43.6757283842084)}"
3313439,2679,SC56792,33,LILLINGTON AVE,PINEGROVE AVE,HIGHVIEW AVE SCARBOROUGH,,0.0,10.0,,20.0,"Maple, silver",71.0,"{'type': 'Point', 'coordinates': (-79.2625281560831, 43.6996499413705)}"
3313440,2680,475550,2151,STEELES AVE W,DUFFERIN ST,GERRY FITZGERALD DR,,0.0,100.0,,6.0,"Lilac, Japanese",7.0,"{'type': 'Point', 'coordinates': (-79.4746905664198, 43.7856966543814)}"
3313441,2681,ET93925,52,SMITHWOOD DR,MAYDOLPH RD,BELGROVE DR,,0.0,10.0,,2.0,"Linden, Littleleaf",50.0,"{'type': 'Point', 'coordinates': (-79.5521129225249, 43.6425177587368)}"
3313442,2682,265506,558,BROADWAY AVE,SUTHERLAND DR,GLENBRAE AVE,,0.0,30.0,,15.0,"Maple, silver",10.0,"{'type': 'Point', 'coordinates': (-79.3673377162736, 43.716163578698406)}"
3313443,2683,602353,108,FOXWELL ST,BRUTON RD,SCARLETT RD,,0.0,10.0,,5.0,Serviceberry,4.0,"{'type': 'Point', 'coordinates': (-79.4992110476754, 43.6701642975675)}"
3313444,2684,265251,400,WELLINGTON ST W,LN W SPADINA N WELLINGTON,DRAPER ST,,0.0,30.0,,10.0,"Elm, rock",8.0,"{'type': 'Point', 'coordinates': (-79.3957148408474, 43.6438543111807)}"
3313445,2685,306877,264,WESTVIEW BLVD,HOLLAND AVE,,,0.0,99.0,,19.0,"Elm, Siberian",30.0,"{'type': 'Point', 'coordinates': (-79.3043481623907, 43.7149897164186)}"
3313446,2686,485618,700,WESTON RD,ROGERS RD,PORTER AVE,,0.0,40.0,,5.0,"Maple, Manitoba",30.0,"{'type': 'Point', 'coordinates': (-79.4789085001627, 43.6817498178562)}"
3313447,2687,1483,53,AMBERJACK BLVD,DAVENTRY RD,BRIMORTON DR,,0.0,10.0,,24.0,"Linden, Littleleaf",22.0,"{'type': 'Point', 'coordinates': (-79.2358712161482, 43.7693531712439)}"
3313448,2688,552141,197,FUNDY BAY BLVD,PALE MOON CRES,LUCANIA PL,,0.0,15.0,,22.0,"Oak, bur",8.0,"{'type': 'Point', 'coordinates': (-79.3205968614011, 43.811381892297)}"
3313449,2689,600151,2,HARTISMERE CRT,COLLINGDALE RD,,,0.0,110.0,,1.0,"Linden, littleleaf 'Glenleven'",8.0,"{'type': 'Point', 'coordinates': (-79.5849239184584, 43.7315806028959)}"
3313450,2690,316093,294,HIGHFIELD RD,LN N GERRARD E GLENSIDE,WALPOLE AVE,,0.0,10.0,,14.0,Ginkgo,3.0,"{'type': 'Point', 'coordinates': (-79.325712103363, 43.6732772855689)}"
3313451,2691,114511,92,FALSTAFF AVE,SPRINGVIEW AVE,MONTANA AVE,,0.0,10.0,,5.0,Oak,48.0,"{'type': 'Point', 'coordinates': (-79.5003231885203, 43.7170224478088)}"
